180302-05:00:47 login login successful 
180302-06:27:10 direct_request ori:(u'::1', 21951), dest:(u'31.13.80.12', 443) 
180302-06:27:10 direct_request ori:(u'::1', 42416), dest:(u'31.13.80.12', 443) 
180302-06:27:11 direct_request ori:(u'::1', 35838), dest:(u'31.13.71.7', 443) 
180302-06:27:11 direct_request ori:(u'::1', 26116), dest:(u'31.13.71.7', 443) 
180302-06:27:11 direct_request ori:(u'::1', 23111), dest:(u'31.13.71.7', 443) 
180302-06:27:11 direct_request ori:(u'::1', 28302), dest:(u'31.13.71.7', 443) 
180302-06:27:12 direct_request ori:(u'::1', 29315), dest:(u'31.13.71.7', 443) 
180302-06:27:12 direct_request ori:(u'::1', 21067), dest:(u'31.13.71.7', 443) 
180302-06:27:12 direct_request ori:(u'::1', 15758), dest:(u'31.13.71.7', 443) 
180302-06:27:13 direct_request ori:(u'::1', 27211), dest:(u'31.13.80.36', 443) 
180302-06:27:13 direct_request ori:(u'::1', 19467), dest:(u'31.13.80.12', 443) 
180302-06:27:14 direct_request ori:(u'::1', 49653), dest:(u'31.13.80.12', 443) 
180302-06:27:14 direct_request ori:(u'::1', 31841), dest:(u'31.13.80.12', 443) 
180302-06:27:14 direct_request ori:(u'::1', 41645), dest:(u'31.13.80.12', 443) 
180302-06:27:14 direct_request ori:(u'::1', 43236), dest:(u'31.13.80.12', 443) 
180302-06:27:15 direct_request ori:(u'::1', 19347), dest:(u'31.13.80.36', 443) 
180302-06:27:15 direct_request ori:(u'::1', 49922), dest:(u'31.13.80.12', 443) 
180302-06:27:15 direct_request ori:(u'::1', 21272), dest:(u'31.13.80.12', 443) 
180302-06:27:15 direct_request ori:(u'::1', 18384), dest:(u'31.13.80.12', 443) 
180302-06:27:15 direct_request ori:(u'::1', 38494), dest:(u'31.13.80.12', 443) 
180302-06:27:19 direct_request ori:(u'::1', 39959), dest:(u'31.13.80.36', 443) 
180302-06:27:21 direct_request ori:(u'::1', 36449), dest:(u'31.13.80.8', 443) 
180302-06:28:44 direct_request ori:(u'::1', 44903), dest:(u'31.13.80.36', 443) 
180302-06:28:45 direct_request ori:(u'::1', 12218), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 44068), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 31346), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 33300), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 49794), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 45968), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 32843), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 43363), dest:(u'31.13.80.12', 443) 
180302-06:28:45 direct_request ori:(u'::1', 27387), dest:(u'31.13.80.12', 443) 
180302-06:28:47 direct_request ori:(u'::1', 43909), dest:(u'31.13.80.12', 443) 
180302-06:28:47 direct_request ori:(u'::1', 44976), dest:(u'31.13.80.36', 443) 
180302-06:28:47 direct_request ori:(u'::1', 16822), dest:(u'31.13.71.7', 443) 
180302-06:28:47 direct_request ori:(u'::1', 23988), dest:(u'31.13.71.7', 443) 
180302-06:28:47 direct_request ori:(u'::1', 18695), dest:(u'31.13.71.7', 443) 
180302-06:28:47 direct_request ori:(u'::1', 17464), dest:(u'31.13.80.12', 443) 
180302-06:28:48 direct_request ori:(u'::1', 18657), dest:(u'31.13.80.12', 443) 
180302-06:28:48 direct_request ori:(u'::1', 11243), dest:(u'31.13.80.36', 443) 
180302-06:28:49 direct_request ori:(u'::1', 27619), dest:(u'31.13.80.36', 443) 
180302-06:28:51 direct_request ori:(u'::1', 29992), dest:(u'31.13.80.12', 443) 
180302-06:28:52 direct_request ori:(u'::1', 28951), dest:(u'31.13.80.12', 443) 
180302-06:28:56 direct_request ori:(u'::1', 25456), dest:(u'31.13.80.36', 443) 
180302-06:28:57 direct_request ori:(u'::1', 15139), dest:(u'31.13.80.36', 443) 
180302-06:28:59 direct_request ori:(u'::1', 39160), dest:(u'31.13.80.36', 443) 
180302-06:29:02 direct_request ori:(u'::1', 45191), dest:(u'31.13.80.36', 443) 
180302-06:29:04 direct_request ori:(u'::1', 17453), dest:(u'31.13.80.12', 443) 
180302-06:29:06 direct_request ori:(u'::1', 32337), dest:(u'31.13.80.36', 443) 
180302-06:29:06 direct_request ori:(u'::1', 41286), dest:(u'172.217.13.66', 443) 
180302-06:29:06 direct_request ori:(u'::1', 43092), dest:(u'31.13.80.2', 443) 
180302-06:29:06 direct_request ori:(u'::1', 37591), dest:(u'31.13.80.36', 443) 
180302-06:29:07 direct_request ori:(u'::1', 48264), dest:(u'31.13.80.36', 443) 
180302-06:29:07 direct_request ori:(u'::1', 17768), dest:(u'31.13.80.12', 443) 
180302-06:29:09 direct_request ori:(u'::1', 20506), dest:(u'31.13.80.36', 443) 
180302-06:29:09 direct_request ori:(u'::1', 13219), dest:(u'31.13.80.36', 443) 
180302-06:29:18 direct_request ori:(u'::1', 26243), dest:(u'31.13.80.36', 443) 
180302-06:29:21 direct_request ori:(u'::1', 34960), dest:(u'31.13.80.8', 443) 
180302-06:29:21 direct_request ori:(u'::1', 40657), dest:(u'31.13.80.36', 443) 
180302-06:29:23 direct_request ori:(u'::1', 16368), dest:(u'31.13.80.36', 443) 
180302-06:29:23 direct_request ori:(u'::1', 49181), dest:(u'31.13.80.36', 443) 
180302-06:29:24 direct_request ori:(u'::1', 11331), dest:(u'31.13.80.12', 443) 
180302-06:29:30 direct_request ori:(u'::1', 13547), dest:(u'31.13.80.36', 443) 
180302-06:30:31 login login successful 
180302-06:30:32 direct_request ori:(u'::1', 28605), dest:(u'ya.ru', 443) 
180302-06:42:27 direct_request ori:(u'::1', 25903), dest:(u'31.13.80.36', 443) 
180302-06:42:28 direct_request ori:(u'::1', 28080), dest:(u'31.13.80.12', 443) 
180302-06:42:28 direct_request ori:(u'::1', 17194), dest:(u'31.13.80.12', 443) 
180302-06:42:28 direct_request ori:(u'::1', 24580), dest:(u'31.13.80.12', 443) 
180302-06:42:28 direct_request ori:(u'::1', 10297), dest:(u'31.13.80.12', 443) 
180302-06:42:29 direct_request ori:(u'::1', 18921), dest:(u'31.13.80.12', 443) 
180302-06:42:29 direct_request ori:(u'::1', 27875), dest:(u'31.13.80.12', 443) 
180302-06:42:29 direct_request ori:(u'::1', 42866), dest:(u'31.13.80.12', 443) 
180302-06:42:29 direct_request ori:(u'::1', 17796), dest:(u'31.13.80.12', 443) 
180302-06:42:29 direct_request ori:(u'::1', 26168), dest:(u'31.13.80.12', 443) 
180302-06:42:31 direct_request ori:(u'::1', 12123), dest:(u'31.13.80.12', 443) 
180302-06:42:31 direct_request ori:(u'::1', 36227), dest:(u'31.13.71.7', 443) 
180302-06:42:31 direct_request ori:(u'::1', 21912), dest:(u'31.13.80.36', 443) 
180302-06:42:31 direct_request ori:(u'::1', 25568), dest:(u'31.13.71.7', 443) 
180302-06:42:31 direct_request ori:(u'::1', 43639), dest:(u'31.13.71.7', 443) 
180302-06:42:32 direct_request ori:(u'::1', 38343), dest:(u'31.13.80.12', 443) 
180302-06:42:32 direct_request ori:(u'::1', 15645), dest:(u'31.13.80.12', 443) 
180302-06:42:32 direct_request ori:(u'::1', 10991), dest:(u'31.13.80.12', 443) 
180302-06:42:32 direct_request ori:(u'::1', 25511), dest:(u'31.13.80.36', 443) 
180302-06:42:34 direct_request ori:(u'::1', 44744), dest:(u'31.13.80.36', 443) 
